Quick Sell Value,Name,Position(s),Rating,Nation,Club,League,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age,Height,Weight,Foot,Attack WR,Defend WR,Weak Foot,Skill Moves,Real Face,Card,Date Of Birth,Acceleration,Sprint Speed,Att. Position,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,FK Acc.,Short Pass,Long Pass,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Acc.,Def. Aware,Stand Tackle,Slide Tackle,Jumping,Stamina,Strength,Aggression,CM Release Clause,CM Wage,CM Value,CM Role
,Gary Lineker,ST,92,England,Icons,Icons,88,91,73,86,36,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luis Figo,RW,92,Portugal,Icons,Icons,92,88,89,92,41,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Owen,ST,91,England,Icons,Icons,90,89,70,88,34,67,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrick Kluivert,ST,91,Netherlands,Icons,Icons,86,88,80,83,41,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miroslav Klose,ST,91,Germany,Icons,Icons,88,88,76,82,41,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Ballack,CM,91,Germany,Icons,Icons,81,90,88,83,81,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laurnet Blanc,CB,91,France,Icons,Icons,79,69,70,78,92,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edwin Van Der Sar,GK,91,Netherlands,Icons,Icons,85,90,81,89,40,95,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eden Hazard,LW,91,Belgium,Real Madrid,La Liga Santander,91,83,86,94,35,66,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kevin De Bruyne,CAM,91,Belgium,Manchester City,EPL,76,86,92,87,61,78,,,,,,,5,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan Oblak ,GK,91,Slovenia,Atletico Madrid,La Liga Santander,87,92,78,89,50,90,,,,,----------------------,----------------------,3,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zinedine Zidane,CM,91,France,Icons,Icons,84,86,91,90,73,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronald Koeman,CB,91,Netherlands,Icons,Icons,75,88,89,80,90,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ian Rush,ST,91,Wales,Icons,Icons,86,92,72,86,45,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Didier Drogba,ST,91,Ivory Coast,Icons,Icons,90,92,77,82,47,90,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ricardo Kaka,CAM,91,Brazil,Icons,Icons,91,86,88,92,44,73,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lev Yashin,GK,91,Russia,Icons,Icons,93,85,73,93,67,92,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Franco Baresi,CB,91,Italy,Icons,Icons,69,48,74,70,94,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marcel Desailly,CB,91,France,Icons,Icons,83,52,66,67,90,90,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roberto Carlos,LB,91,Brazil,Icons,Icons,92,83,84,81,86,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fernando Hierro Ruiz,CB,91,Spain,Icons,Icons,73,68,76,70,93,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lothar Matthaus,CDM,91,Germany,Icons,Icons,87,84,86,77,89,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Socrates,CAM,91,Brazil,Icons,Icons,84,90,91,90,45,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steven Gerrard,CM,91,England,Icons,Icons,77,90,90,85,77,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gheorghe Hagi,CAM,91,Romania,Icons,Icons,83,89,90,90,43,65,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Laudrup,CAM,91,Denmark,Icons,Icons,85,79,90,92,38,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pavel Nedved,LM,91,Czech Republic,Icons,Icons,85,88,90,90,60,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paul Scholes,CM,91,England,Icons,Icons,72,87,91,80,64,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrick Vieira,CM,91,France,Icons,Icons,83,80,82,85,90,91,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clarence Seedorf,CAM,91,Netherlands,Icons,Icons,80,87,90,88,68,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Robert Pires,LM,91,France,Icons,Icons,88,82,88,89,40,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pele,CF,91,Brazil,Icons,Icons,94,89,88,93,53,73,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diego Maradona,CAM,91,Argentina,Icons,Icons,93,87,87,94,38,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johann Cruyff,CF,91,Netherlands,Icons,Icons,91,89,88,93,41,72,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronaldinho,CAM,91,Brazil,Icons,Icons,91,86,88,92,36,79,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roberto Baggio,CAM,91,Italy,Icons,Icons,88,82,89,90,38,60,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eusebio,CF,91,Portugal,Icons,Icons,93,93,88,90,42,74,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marco Van Basten ,ST,91,Netherlands,Icons,Icons,79,92,75,87,40,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andrij Shevchenko,ST,91,Ukraine,Icons,Icons,88,92,72,87,34,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alan Shearer,ST,91,England,Icons,Icons,81,93,77,78,52,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dennis Bergkamp,CAM,90,Netherlands,Icons,Icons,85,89,83,88,35,73,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,George Best,RW,90,Northern Ireland,Icons,Icons,90,90,83,93,57,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronaldo,ST,90,Brazil,Icons,Icons,94,90,77,91,42,72,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emmanuel Petit,CDM,90,France,Icons,Icons,77,79,82,78,87,89,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruud Gullit,CM,90,Netherlands,Icons,Icons,88,88,88,87,80,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rio Ferdinand,CB,90,England,Icons,Icons,83,49,67,65,91,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peter Schmeichel,GK,90,Denmark,Icons,Icons,89,84,85,93,53,86,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virgil Van Dijk,CB,90,Netherlands,Liverpool,EPL,77,60,70,72,90,86,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ter Stegen,GK,90,Germany,FC Barcelona,La Liga Santander,88,85,88,90,38,88,,,,,----------------------,----------------------,4,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mohammed Salah,RW,90,Egypt,Liverpool,EPL,93,86,81,89,45,74,,,,,,,3,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andrea Pirlo,CM,90,Italy,Icons,Icons,75,79,93,90,68,65,,177 cm,,Right,Medium,Medium,4,5,,Icon,19.5.1979,76,74,87,77,76,82,72,88,95,89,95,95,93,93,86,77,92,94,90,94,74,52,72,66,65,59,84,61,53,,,,
,Josep Guardiola,CDM,90,Spain,Icons,Icons,78,65,88,81,88,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Essien,CDM,90,Ghana,Icons,Icons,85,76,81,82,90,90,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenny Dalglish,CF / ST,90,Scotland,Icons,Icons,87,90,79,89,42,71,68,"173 cm / 5'8""",,Right,High,Medium,5,4,,Icon,4.3.1951,88,87,92,91,87,89,88,89,80,78,88,85,61,82,90,89,94,89,89,91,36,82,39,38,28,72,81,65,73,,,,
,Garrincha,RW,90,Brazil,Icons,Icons,90,83,88,93,41,67,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlos Alberto Torres,RB,90,Brazil,Icons,Icons,90,63,80,83,87,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luka Modric,CM,90,Croatia,Real Madrid,La Liga Santander,74,76,89,90,72,66,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jens Lehmann,GK,90,Germany,Icons,Icons,87,91,86,86,59,90,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alessandro Nesta ,CB,90,Italy,Icons,Icons,71,41,62,66,91,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carles Puyol,CB,90,Spain,Icons,Icons,72,45,66,58,93,91,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rui Costa,CAM,90,Portugal,Icons,Icons,86,81,88,88,44,79,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deco,CM,90,Portugal,Icons,Icons,83,79,91,90,51,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Lampard,CM,90,England,Icons,Icons,74,90,88,84,73,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roy Keane,CM,90,Republic Of Ireland,Icons,Icons,72,71,85,81,87,89,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jari Litmanen,CAM,90,Finland,Icons,Icons,82,89,84,84,36,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Claude Makelele,CDM,90,France,Icons,Icons,80,50,79,80,88,88,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jay-Jay Okocha,CAM,90,Nigeria,Icons,Icons,87,83,84,94,40,60,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marc Overmars,LM,90,Netherlands,Icons,Icons,95,82,81,89,47,67,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juan Sebastian Veron,CM,90,Argentina,Icons,Icons,76,85,90,85,77,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Rijkaard,CDM,90,Netherlands,Icons,Icons,77,76,83,80,90,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rivaldo,CF,90,Brazil,Icons,Icons,85,90,87,90,43,77,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thierry Henry,LW,90,Henry,Icons,Icons,90,88,85,87,51,77,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emilio Butragueno,ST,90,Spain,Icons,Icons,92,88,81,91,42,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alessandro Del Piero,CF,90,Italy,Icons,Icons,85,90,85,92,42,69,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luis Figo,RW,90,Portugal,Icons,Icons,90,86,88,91,40,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edwin Van Der Sar,GK,89,Netherlands,Icons,Icons,87,86,83,90,50,89,48,"6'6""",,Right,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sergio Busquets,CDM,89,Spain,FC Barcelona,La Liga Santander,42,62,80,81,85,80,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David De Gea,GK,89,Spain,Manchester United,EPL,90,84,81,92,57,85,,,,,----------------------,----------------------,3,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luis Suarez,ST,89,Uruguay,FC Barcelona,La Liga Santander,73,89,80,84,51,84,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hugo Sanchez,ST,89,Mexico,Icons,Icons,90,88,78,88,41,70,61,"5'9""",,Left,High,Medium,3,3,,Icon,,89,90,87,91,86,86,94,80,80,84,80,84,50,84,88,88,86,88,91,58,41,90,34,34,32,85,75,70,61,,,,
,Kylian Mbappe,ST,89,France,Paris,Ligue 1,96,84,78,90,39,75,,,,,,,4,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Didier Drogba,ST,89,Ivory Coast,Icons,Icons,85,90,75,80,46,88,41,"189 cm / 6'2""",,Right,High,High,4,4,,Icon,11.3.1978,85,85,92,93,91,83,88,88,79,73,84,76,66,74,70,66,87,86,78,85,46,91,40,40,36,86,86,92,80,,,,
,Ian Rush,ST,89,Wales,Icons,Icons,86,92,75,89,48,82,57,,,Right,High,Medium,4,3,Yes,Icon,,80,85,93,92,87,89,90,88,77,67,70,77,54,83,79,78,92,88,83,92,35,91,40,45,28,,,,,,,,
,Gianluca Zambrotta,RB,89,Italy,Icons,Icons,90,72,84,85,88,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John Barnes,LW,89,England,Icons,Icons,90,87,85,91,45,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ian Wright,ST,89,England,Icons,Icons,89,90,70,82,41,77,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ricardo Kaka,CAM,89,Brazil,Icons,Icons,85,82,87,90,43,70,37,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anotine Griezmann,CF,89,France,FC Barcelona,La Liga Santander,81,86,84,89,57,72,,,,,,,3,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alisson,GK,89,Brazil,Liverpool,EPL,85,84,85,89,52,90,,,,,----------------------,----------------------,3,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N'Golo Kante,CDM,89,France,Chelsea,EPL,78,65,77,81,87,83,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kalidou Koulibaly,CB,89,Senegal,Napoli,Serie A,71,28,54,68,89,87,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harry Kane,ST,89,England,Spurs,EPL,70,91,79,81,47,83,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Robert Lewandowski,ST,89,Poland,FC Bayern,Bundesliga,77,87,74,85,41,82,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Giorgio Chiellini,CB,89,Italy,Piemonte Calcio,Serie A,68,46,58,62,90,82,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sergio Aguero,ST,89,Argentina,Manchester City,EPL,80,90,77,88,33,74,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sergio Ramos,CB,89,Spain,Real Madrid,La Liga Santander,72,68,75,74,87,85,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lev Yashin,GK,89,Russia,Icons,Icons,91,86,72,92,69,89,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fabio Cannavaro,CB,89,Italy,Icons,Icons,76,44,62,67,92,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bobby Moore,CB,89,England,Icons,Icons,66,60,81,75,91,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laurnet Blanc,CB,89,France,Icons,Icons,79,68,70,79,90,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fernando Hierro Ruiz,CB,89,Spain,Icons,Icons,71,66,75,70,90,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sol Campbell,CB,89,England,Icons,Icons,80,45,60,54,90,90,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ryan Giggs,LM,89,Wales,Icons,Icons,84,80,90,88,47,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Ballack,CM,89,Germany,Icons,Icons,78,87,88,82,78,88,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
